Protein	hpt_T1_rep1	hpt_T1_rep2	hpt_T1_rep3	hpt_T1_rep4	hpt_T2_rep1	hpt_T2_rep2	hpt_T2_rep3	hpt_T2_rep4	hpt_T3_rep1	hpt_T3_rep2	hpt_T3_rep3	hpt_T3_rep4
WP_003514662.1	28.17329	27.91361	28.5995	28.62014	27.99436	27.08476	27.50816	28.37234	28.21427	28.62249	27.5694	26.80123
WP_003516577.1	18.77196	20.48093	18.79949	23.2753	19.34934	21.71185	24.58369	24.91532	24.33206	24.35066	18.36017	23.82597
WP_003511544.1	25.37605	25.00619	25.07603	24.76466	25.56867	23.99899	25.27205	25.15441	26.17797	25.11092	23.73189	25.03679
WP_003513954.1	25.02244	23.79937	27.63118	24.82064	23.67291	23.45726	26.71559	26.24435	28.09155	25.00411	27.73896	25.71165
WP_003514618.1	30.92491	32.08143	31.67713	31.895	30.26211	31.40422	31.27845	31.55511	31.7124	30.99322	31.67987	32.23212
WP_003519164.1	19.07426	20.93343	24.14038	23.78211	24.54595	23.42125	22.68583	24.04897	21.09662	24.08757	21.01172	18.58193
WP_003517107.1	24.41586	23.5122	24.27419	20.13568	26.31246	26.1217	26.24133	24.88988	21.33573	19.79606	23.17709	23.1584
WP_003512977.1	27.7192	28.15064	28.03535	27.79342	27.54393	24.90743	27.32312	27.35208	20.81376	25.84762	26.15089	26.25933
WP_003516575.1	23.03507	21.19785	23.21316	22.17485	22.7542	23.83763	23.06444	20.12834	22.89907	19.71887	20.12522	19.20649
WP_003514317.1	26.26526	26.33918	26.05456	23.6396	26.24724	23.11403	25.79008	25.60999	25.09447	25.3013	26.30114	25.10025
WP_003513934.1	28.02658	28.19121	27.00455	28.05375	26.49134	28.89593	28.46685	28.65025	28.47932	28.17323	26.16651	28.05375
WP_003515591.1	27.70064	27.74274	28.25815	28.00552	28.49081	27.5376	28.6148	28.79637	27.89983	28.00906	27.63993	28.461
WP_003513185.1	26.3892	26.33159	25.59599	26.38926	26.46678	26.3377	25.65958	26.5063	25.74881	26.33647	26.51855	26.74963
WP_003516573.1	24.08937	23.68667	24.8465	24.73091	24.87215	24.39065	23.44671	22.66599	21.28395	22.95598	22.38892	21.31798
WP_003518270.1	25.55417	24.85375	25.30723	25.4922	25.55689	25.45108	25.29036	25.70411	25.36096	25.87795	25.74738	25.70236
WP_003513098.1	17.97701	24.66375	20.23974	21.71873	26.25863	19.36427	25.99381	24.44647	18.44794	23.2086	22.23679	21.35861
WP_003517900.1	27.32876	26.9065	27.00728	27.39114	27.18033	26.25806	27.36468	27.07247	26.83467	26.72209	26.07417	26.77313
WP_003511963.1	24.7192	24.65761	21.79518	24.30893	20.34926	20.57852	24.34327	25.39295	25.38013	25.31598	18.31936	25.14372
WP_014522596.1	22.61426	23.12954	22.49996	23.67256	23.07755	24.14443	23.38558	23.51595	23.90669	23.14014	23.24766	20.71374
WP_003513794.1	33.31148	30.92103	31.65559	32.63807	32.72928	32.66771	33.2926	31.16145	31.92899	30.0308	32.41172	32.61012
WP_003518519.1	19.7731	20.09999	23.25539	21.51137	22.48453	21.02316	22.82015	22.02772	18.59798	19.88388	20.80964	21.79169
WP_003518362.1	20.6397	19.41057	25.37539	24.74552	18.91383	25.036	24.82275	23.77009	21.16808	24.65141	19.19787	19.30212
WP_003511705.1	26.81589	26.79137	27.63674	27.39233	27.41467	26.96706	27.13141	27.48689	27.32992	27.30091	27.20839	27.328
WP_014522594.1	24.47489	24.70473	24.59743	24.09771	25.02345	25.19156	25.29822	25.7669	25.26459	24.99982	24.55583	23.69113
WP_003518228.1	20.70256	18.60184	19.49216	19.37482	20.33153	20.20419	19.13969	20.41253	28.50601	20.1797	19.88087	23.28275
WP_003513744.1	22.83196	18.82119	20.68336	20.58717	23.20764	24.93703	23.68176	24.74462	24.14381	23.38557	24.11927	24.17058
WP_003514623.1	30.55085	30.26788	28.96009	30.12591	30.3231	30.2321	30.86828	30.90602	30.81089	29.50385	30.23986	30.86477
WP_003512965.1	26.80748	26.63503	26.2794	28.06817	28.87494	28.30314	28.90469	28.48717	29.32382	25.69806	29.51749	20.81539
WP_003513475.1	24.99073	19.12146	24.54674	21.03112	21.86261	25.47733	20.17066	24.18641	20.30881	23.72918	19.21256	24.00077
WP_003511862.1	30.9882	31.0063	30.49212	30.9765	30.47235	30.85375	31.01656	31.05817	30.10698	30.58915	30.97281	30.34329
WP_003513193.1	20.29897	18.03159	21.11956	20.21343	19.59565	19.52675	18.69066	25.14828	18.55843	20.20512	19.91382	21.06794
WP_003512967.1	24.07764	22.03122	24.2575	24.47539	25.52167	25.32459	25.49296	24.66945	24.67746	24.28142	24.23689	25.73043
WP_003516561.1	25.5416	25.15579	25.62685	25.31799	25.50634	25.10085	24.90829	25.53155	25.42384	25.27659	25.39559	25.99333
WP_003517974.1	29.77724	28.39065	28.43973	28.23755	27.25838	27.21427	28.07637	28.52819	28.15157	28.72799	28.7762	28.67678
WP_003518712.1	29.06596	28.88249	28.89945	29.11856	29.22532	28.68904	28.85248	29.32343	28.85069	29.60168	29.02943	29.2637
WP_020458025.1	29.1984	28.97983	29.1996	28.99762	29.14469	28.78223	29.08259	29.12678	29.02008	29.58335	29.02837	29.10611
WP_003517853.1	22.67974	19.8156	20.31614	20.60279	21.38527	18.73205	21.68816	22.09088	21.73987	20.2833	19.20075	20.67004
WP_003517064.1	24.57957	20.67639	19.65155	25.07485	24.58486	25.24274	24.3533	20.43695	20.9722	23.25211	20.93696	20.51665
WP_003514311.1	27.54431	26.87344	25.70812	28.15065	25.85213	18.9476	28.28455	28.86258	27.20221	20.53583	24.69277	26.14356
WP_003517527.1	18.52029	24.18595	18.87194	23.08761	24.6301	22.08507	23.14104	20.51205	19.40995	23.49429	19.75761	22.72198
WP_003514635.1	30.96849	30.83229	30.87404	30.95524	31.05936	31.18152	31.14673	31.04626	31.33344	30.93646	30.30947	29.69277
WP_003521161.1	22.95088	20.73883	21.2985	22.34049	22.78463	22.62604	23.3113	20.75466	20.07197	24.04633	20.01255	21.436
WP_003513451.1	19.48763	22.04365	22.86777	22.36663	22.48549	22.97054	22.35632	22.99869	19.42419	22.61103	19.89937	18.01789
WP_003512125.1	23.21808	22.14825	23.06584	22.93835	22.86721	19.24265	23.55558	23.45858	20.10391	22.19619	22.58402	24.80148
WP_003514796.1	25.33067	20.33794	19.0834	25.83475	20.7682	27.63533	20.15237	28.1661	28.63116	28.01372	19.06601	18.17636
WP_003517525.1	24.01087	25.05742	25.81255	25.37627	24.16151	25.52416	26.28582	26.69578	27.61102	27.06607	21.48853	27.08667
