Protein	Locus
WP_003512128.1	Clo1313_2114
ADU74760.1	Clo1313_1703
ADU75948.1	Clo1313_2970
ADU73834.1	Clo1313_0756
ADU74770.1	Clo1313_1713
WP_003518590.1	Clo1313_1288
WP_003513613.1	Clo1313_2894
ADU74353.1	Clo1313_1290
WP_003517454.1	Clo1313_1010
WP_003518887.1	Clo1313_1039
WP_003511556.1	Clo1313_0632
ADU73561.1	Clo1313_0472
ADU75696.1	Clo1313_2712
ADU74527.1	Clo1313_1465
ADU75994.1	Clo1313_3016
ADU73501.1	Clo1313_0412
WP_004463481.1	Clo1313_1197
WP_003518357.1	Clo1313_0120
ADU74528.1	Clo1313_1466
ADU75039.1	Clo1313_1993
ADU74343.1	Clo1313_1280
ADU74989.1	Clo1313_1942
WP_003516354.1	Clo1313_1442
WP_003513950.1	Clo1313_2627
WP_003515789.1	Clo1313_2502
WP_003516513.1	Clo1313_1622
WP_003513833.1	Clo1313_2565
WP_003516374.1	Clo1313_1430
WP_003517719.1	Clo1313_2288
ADU73183.1	Clo1313_0085
ADU75722.1	Clo1313_2738
ADU74981.1	Clo1313_1931
ADU73804.1	Clo1313_0726
ADU75212.1	Clo1313_2172
ADU75290.1	Clo1313_2258
ADU73536.1	Clo1313_0447
ADU75025.1	Clo1313_1978
ADU74627.1	Clo1313_1566
WP_003512132.1	Clo1313_2111
WP_003515795.1	Clo1313_2498
ADU75985.1	Clo1313_3007
ADU75298.1	Clo1313_2266
ADU75781.1	Clo1313_2800
WP_003514656.1	Clo1313_0462
WP_003518732.1	Clo1313_1400
ADU74655.1	Clo1313_1594
ADU73149.1	Clo1313_0050
WP_003518361.1	Clo1313_0105
ADU73695.1	Clo1313_0615
WP_003514207.1	Clo1313_2758
WP_003518511.1	Clo1313_0501
ADU73134.1	Clo1313_0034
ADU75817.1	Clo1313_2837
WP_003516525.1	Clo1313_1615
WP_003517046.1	Clo1313_0917
WP_003519058.1	Clo1313_1793
ADU74449.1	Clo1313_1386
WP_003511751.1	Clo1313_0735
WP_003515787.1	Clo1313_2503
ADU75124.1	Clo1313_2083
ADU74548.1	Clo1313_1486
ADU73238.1	Clo1313_0142
WP_003517062.1	Clo1313_0912
WP_003511632.1	Clo1313_0665
ADU75099.1	Clo1313_2058
WP_003513009.1	Clo1313_0164
WP_003512069.1	Clo1313_2141
WP_003514217.1	Clo1313_2764
ADU75543.1	Clo1313_2539
ADU75996.1	Clo1313_3018
ADU75452.1	Clo1313_2438
ADU74808.1	Clo1313_1751
WP_003519385.1	Clo1313_0883
ADU73343.1	Clo1313_0249
ADU73266.1	Clo1313_0171
ADU75373.1	Clo1313_2351
WP_003513001.1	Clo1313_0170
ADU75821.1	Clo1313_2841
WP_003513552.1	Clo1313_2923
WP_003519461.1	Clo1313_0821
ADU75468.1	Clo1313_2454
WP_003516112.1	Clo1313_0729
ADU73155.1	Clo1313_0056
ADU74800.1	Clo1313_1743
ADU75846.1	Clo1313_2866
ADU73985.1	Clo1313_0917
WP_003519304.1	Clo1313_2577
WP_003517116.1	Clo1313_0888
WP_003515322.1	Clo1313_0365
ADU75862.1	Clo1313_2882
ADU73580.1	Clo1313_0491
ADU75859.1	Clo1313_2879
WP_003522420.1	Clo1313_2564
ADU74836.1	Clo1313_1780
WP_003516608.1	Clo1313_1574
WP_003514552.1	Clo1313_0416
WP_003513128.1	Clo1313_0101
ADU75668.1	Clo1313_2675
WP_003517590.1	Clo1313_1697
WP_003519415.1	Clo1313_0518
ADU73240.1	Clo1313_0144
ADU74805.1	Clo1313_1748
ADU75834.1	Clo1313_2854
WP_003518663.1	Clo1313_1250
WP_003521203.1	Clo1313_0817
WP_003512710.1	Clo1313_1813
ADU74912.1	Clo1313_1859
ADU74574.1	Clo1313_1512
WP_003517312.1	Clo1313_2356
ADU73669.1	Clo1313_0587
ADU75042.1	Clo1313_1996
ADU75575.1	Clo1313_2574
ADU74326.1	Clo1313_1263
ADU74625.1	Clo1313_1564
WP_003519056.1	Clo1313_1795
ADU75916.1	Clo1313_2936
WP_003516763.1	Clo1313_2740
ADU73236.1	Clo1313_0140
WP_003517163.1	Clo1313_1363
WP_003515663.1	Clo1313_1159
WP_003516356.1	Clo1313_1440
WP_003512183.1	Clo1313_2084
WP_003517625.1	Clo1313_1679
WP_003517147.1	Clo1313_1369
WP_014522661.1	Clo1313_2874
ADU75083.1	Clo1313_2042
ADU74435.1	Clo1313_1372
WP_003515869.1	Clo1313_2460
ADU75999.1	Clo1313_3021
WP_003517984.1	Clo1313_1734
WP_003520235.1	Clo1313_2811
ADU74825.1	Clo1313_1768
ADU74187.1	Clo1313_1123
WP_003514575.1	Clo1313_0423
ADU74310.1	Clo1313_1246
WP_003517756.1	Clo1313_2269
ADU73614.1	Clo1313_0529
ADU74492.1	Clo1313_1430
WP_003515717.1	Clo1313_1129
WP_003516322.1	Clo1313_1450
ADU73853.1	Clo1313_0780
ADU75963.1	Clo1313_2985
WP_003517785.1	Clo1313_2253
ADU73634.1	Clo1313_0550
ADU75102.1	Clo1313_2061
WP_003514888.1	Clo1313_0559
ADU75947.1	Clo1313_2969
WP_003515849.1	Clo1313_2468
ADU73953.1	Clo1313_0885
WP_003515758.1	Clo1313_1110
ADU75184.1	Clo1313_2143
ADU75644.1	Clo1313_2645
WP_003519512.1	Clo1313_0772
ADU73361.1	Clo1313_0270
WP_003511587.1	Clo1313_0643
WP_003518120.1	Clo1313_3009
WP_003516862.1	Clo1313_2835
WP_003513402.1	Clo1313_3002
ADU73421.1	Clo1313_0330
ADU74370.1	Clo1313_1307
WP_003516352.1	Clo1313_1444
WP_003515841.1	Clo1313_2472
WP_003518593.1	Clo1313_1286
WP_003518136.1	Clo1313_2986
ADU74328.1	Clo1313_1265
WP_003518747.1	Clo1313_1392
WP_003517457.1	Clo1313_1008
ADU73189.1	Clo1313_0092
WP_003518444.1	Clo1313_2635
ADU74237.1	Clo1313_1173
WP_003515762.1	Clo1313_1108
WP_003513016.1	Clo1313_0156
WP_003515855.1	Clo1313_2462
ADU75221.1	Clo1313_2181
ADU75614.1	Clo1313_2614
ADU73879.1	Clo1313_0809
ADU74741.1	Clo1313_1684
ADU73548.1	Clo1313_0459
ADU75002.1	Clo1313_1955
ADU75729.1	Clo1313_2745
WP_003516940.1	Clo1313_0534
WP_003512374.1	Clo1313_1984
ADU73717.1	Clo1313_0637
ADU74062.1	Clo1313_0994
ADU74213.1	Clo1313_1149
ADU73290.1	Clo1313_0195
ADU74556.1	Clo1313_1494
WP_003514440.1	Clo1313_0380
WP_003513527.1	Clo1313_2933
ADU75495.1	Clo1313_2483
ADU73540.1	Clo1313_0451
WP_003520984.1	Clo1313_1533
ADU75721.1	Clo1313_2737
WP_003518898.1	Clo1313_1033
ADU73576.1	Clo1313_0487
WP_003516928.1	Clo1313_0546
ADU75886.1	Clo1313_2906
WP_003518755.1	Clo1313_1388
WP_003517385.1	Clo1313_2317
WP_003511909.1	Clo1313_2216
WP_003512922.1	Clo1313_0213
ADU75812.1	Clo1313_2832
WP_003519966.1	Clo1313_0061
WP_003517578.1	Clo1313_1702
ADU73970.1	Clo1313_0902
WP_003515928.1	Clo1313_2433
ADU74140.1	Clo1313_1076
WP_003516278.1	Clo1313_1477
ADU75816.1	Clo1313_2836
WP_003517724.1	Clo1313_2284
WP_003519135.1	Clo1313_1097
ADU74656.1	Clo1313_1595
ADU75066.1	Clo1313_2022
ADU74688.1	Clo1313_1627
ADU74631.1	Clo1313_1570
ADU75703.1	Clo1313_2719
WP_003518749.1	Clo1313_1391
ADU74735.1	Clo1313_1678
WP_003518494.1	Clo1313_2916
ADU73213.1	Clo1313_0116
WP_003516223.1	Clo1313_1509
ADU73494.1	Clo1313_0405
ADU74128.1	Clo1313_1060
WP_003515687.1	Clo1313_1144
WP_003516522.1	Clo1313_1617
ADU73109.1	Clo1313_0009
WP_003514774.1	Clo1313_0529
ADU73115.1	Clo1313_0015
ADU75713.1	Clo1313_2729
ADU75374.1	Clo1313_2352
ADU75759.1	Clo1313_2775
WP_003513420.1	Clo1313_2992
ADU75127.1	Clo1313_2086
ADU73203.1	Clo1313_0106
ADU74283.1	Clo1313_1219
WP_003517963.1	Clo1313_1747
WP_003513878.1	Clo1313_2590
WP_003515365.1	Clo1313_0313
ADU74392.1	Clo1313_1329
ADU73152.1	Clo1313_0053
WP_003513884.1	Clo1313_2593
WP_003516144.1	Clo1313_0706
ADU73924.1	Clo1313_0856
WP_003511603.1	Clo1313_0651
WP_003514589.1	Clo1313_0433
WP_003515629.1	Clo1313_1176
WP_003512177.1	Clo1313_2090
WP_003513911.1	Clo1313_2606
WP_003511613.1	Clo1313_0658
ADU73128.1	Clo1313_0028
WP_003515607.1	Clo1313_1187
ADU74526.1	Clo1313_1464
ADU73583.1	Clo1313_0494
ADU74939.1	Clo1313_1887
ADU73326.1	Clo1313_0232
WP_003517880.1	Clo1313_2094
ADU73662.1	Clo1313_0580
ADU73419.1	Clo1313_0328
WP_003517953.1	Clo1313_1752
ADU74944.1	Clo1313_1892
WP_003514851.1	Clo1313_0578
ADU73314.1	Clo1313_0220
ADU75268.1	Clo1313_2235
ADU75346.1	Clo1313_2324
ADU74154.1	Clo1313_1090
ADU74577.1	Clo1313_1515
WP_003514108.1	Clo1313_2711
WP_003512900.1	Clo1313_0229
ADU75572.1	Clo1313_2569
WP_003513937.1	Clo1313_2619
ADU74468.1	Clo1313_1406
WP_003516570.1	Clo1313_1595
ADU73654.1	Clo1313_0572
ADU75875.1	Clo1313_2895
ADU75213.1	Clo1313_2173
ADU75080.1	Clo1313_2038
ADU74786.1	Clo1313_1729
ADU73673.1	Clo1313_0591
WP_003517355.1	Clo1313_2335
ADU75421.1	Clo1313_2404
ADU75272.1	Clo1313_2240
ADU74436.1	Clo1313_1373
WP_003513133.1	Clo1313_0098
ADU75621.1	Clo1313_2621
WP_003518641.1	Clo1313_1263
WP_003515710.1	Clo1313_1132
WP_003518870.1	Clo1313_1049
WP_003516558.1	Clo1313_1601
WP_003516096.1	Clo1313_0749
ADU75389.1	Clo1313_2372
ADU74925.1	Clo1313_1873
ADU75429.1	Clo1313_2412
WP_003512369.1	Clo1313_1988
WP_003512346.1	Clo1313_1999
ADU73221.1	Clo1313_0124
WP_003519434.1	Clo1313_1073
ADU73599.1	Clo1313_0514
WP_003514587.1	Clo1313_0432
ADU74410.1	Clo1313_1347
ADU73763.1	Clo1313_0683
ADU75906.1	Clo1313_2926
WP_003521330.1	Clo1313_2532
WP_003517276.1	Clo1313_1306
WP_003512890.1	Clo1313_0234
WP_003515705.1	Clo1313_1134
WP_003519009.1	Clo1313_1992
WP_003517251.1	Clo1313_1320
ADU73328.1	Clo1313_0234
ADU74896.1	Clo1313_1843
ADU75149.1	Clo1313_2108
ADU74029.1	Clo1313_0961
ADU75776.1	Clo1313_2794
ADU74466.1	Clo1313_1404
ADU74983.1	Clo1313_1935
ADU74845.1	Clo1313_1789
WP_003514168.1	Clo1313_2739
WP_003518187.1	Clo1313_1939
ADU73738.1	Clo1313_0658
ADU74049.1	Clo1313_0981
WP_003512715.1	Clo1313_1811
ADU74234.1	Clo1313_1170
WP_003512956.1	Clo1313_0196
ADU75520.1	Clo1313_2511
ADU75636.1	Clo1313_2637
ADU73300.1	Clo1313_0205
ADU75613.1	Clo1313_2613
WP_003511947.1	Clo1313_2200
ADU75500.1	Clo1313_2488
ADU73281.1	Clo1313_0186
ADU73730.1	Clo1313_0650
WP_003520768.1	Clo1313_2156
WP_003519188.1	Clo1313_0812
WP_003518938.1	Clo1313_2210
ADU73710.1	Clo1313_0630
ADU75216.1	Clo1313_2176
ADU74355.1	Clo1313_1292
WP_003515445.1	Clo1313_0218
ADU75508.1	Clo1313_2497
WP_003512875.1	Clo1313_0242
ADU74864.1	Clo1313_1808
WP_003513993.1	Clo1313_2648
WP_003518163.1	Clo1313_1973
WP_003516357.1	Clo1313_1439
WP_003518681.1	Clo1313_1824
WP_003513378.1	Clo1313_3014
WP_003518700.1	Clo1313_1419
ADU74055.1	Clo1313_0987
ADU75740.1	Clo1313_2756
ADU73396.1	Clo1313_0305
WP_003518890.1	Clo1313_1038
ADU75778.1	Clo1313_2796
ADU75998.1	Clo1313_3020
ADU75309.1	Clo1313_2279
WP_003516238.1	Clo1313_1502
WP_003512898.1	Clo1313_0230
WP_003517372.1	Clo1313_2327
WP_003517359.1	Clo1313_2333
WP_003512246.1	Clo1313_2056
WP_003513339.1	Clo1313_0002
WP_003517008.1	Clo1313_0939
WP_003518554.1	Clo1313_0450
ADU73459.1	Clo1313_0369
WP_003515684.1	Clo1313_1147
ADU74714.1	Clo1313_1657
WP_003513331.1	Clo1313_0006
WP_003514703.1	Clo1313_0496
ADU75683.1	Clo1313_2696
WP_003516915.1	Clo1313_0567
WP_003515979.1	Clo1313_2418
ADU73830.1	Clo1313_0752
ADU73451.1	Clo1313_0361
WP_003513683.1	Clo1313_2850
ADU73923.1	Clo1313_0855
WP_003514374.1	Clo1313_0339
WP_003513449.1	Clo1313_2980
ADU75035.1	Clo1313_1988
WP_003516880.1	Clo1313_2804
WP_003517821.1	Clo1313_2237
ADU75321.1	Clo1313_2292
ADU73818.1	Clo1313_0740
WP_014522598.1	Clo1313_0767
WP_003513187.1	Clo1313_0074
WP_003518353.1	Clo1313_0129
WP_003513096.1	Clo1313_0118
WP_003512112.1	Clo1313_2124
ADU75692.1	Clo1313_2708
ADU74115.1	Clo1313_1047
ADU74268.1	Clo1313_1204
WP_003516517.1	Clo1313_1620
WP_003516370.1	Clo1313_1432
WP_003517410.1	Clo1313_2301
ADU74979.1	Clo1313_1929
ADU75313.1	Clo1313_2284
ADU74633.1	Clo1313_1572
WP_003513469.1	Clo1313_2964
WP_003513954.1	Clo1313_2631
WP_003514618.1	Clo1313_0444
ADU74617.1	Clo1313_1555
ADU75021.1	Clo1313_1974
WP_003514641.1	Clo1313_0454
WP_003513934.1	Clo1313_2618
ADU74080.1	Clo1313_1012
WP_003516573.1	Clo1313_1593
WP_003518270.1	Clo1313_0850
ADU74453.1	Clo1313_1390
WP_003517900.1	Clo1313_1776
ADU75406.1	Clo1313_2389
ADU75337.1	Clo1313_2311
WP_003518228.1	Clo1313_0869
ADU74922.1	Clo1313_1870
ADU75294.1	Clo1313_2262
WP_003513475.1	Clo1313_2961
WP_003517040.1	Clo1313_0922
ADU75049.1	Clo1313_2004
ADU73705.1	Clo1313_0625
ADU73206.1	Clo1313_0109
ADU73524.1	Clo1313_0435
ADU75785.1	Clo1313_2805
ADU75474.1	Clo1313_2460
WP_003517527.1	Clo1313_0971
WP_003512886.1	Clo1313_0236
ADU73691.1	Clo1313_0611
ADU74986.1	Clo1313_1938
ADU75799.1	Clo1313_2819
ADU74958.1	Clo1313_1907
WP_003513792.1	Clo1313_2544
WP_003519740.1	Clo1313_0661
ADU75100.1	Clo1313_2059
WP_003517058.1	Clo1313_0914
WP_003512816.1	Clo1313_0270
WP_003518603.1	Clo1313_1282
WP_003516004.1	Clo1313_2404
WP_003514203.1	Clo1313_2755
WP_003516024.1	Clo1313_2395
ADU75791.1	Clo1313_2811
ADU73798.1	Clo1313_0720
WP_003516905.1	Clo1313_0583
ADU73816.1	Clo1313_0738
WP_003521185.1	Clo1313_1860
WP_003519558.1	Clo1313_2519
ADU75547.1	Clo1313_2543
ADU75456.1	Clo1313_2442
WP_003516470.1	Clo1313_3028
WP_003512019.1	Clo1313_2165
WP_003519389.1	Clo1313_0881
WP_003512990.1	Clo1313_0178
ADU75392.1	Clo1313_2375
WP_003513548.1	Clo1313_2925
ADU73286.1	Clo1313_0191
ADU75858.1	Clo1313_2878
ADU74552.1	Clo1313_1490
ADU73786.1	Clo1313_0708
WP_003512969.1	Clo1313_0190
WP_003516406.1	Clo1313_0081
WP_003513587.1	Clo1313_2907
ADU75523.1	Clo1313_2518
ADU74824.1	Clo1313_1767
ADU73171.1	Clo1313_0073
ADU73778.1	Clo1313_0700
ADU75866.1	Clo1313_2886
WP_003513667.1	Clo1313_2857
WP_003514902.1	Clo1313_0553
ADU74591.1	Clo1313_1529
WP_003517635.1	Clo1313_1673
WP_003512438.1	Clo1313_1948
WP_003513007.1	Clo1313_0166
ADU73179.1	Clo1313_0081
ADU74863.1	Clo1313_1807
WP_003517144.1	Clo1313_1371
ADU75047.1	Clo1313_2001
WP_014522653.1	Clo1313_2678
ADU74471.1	Clo1313_1409
WP_003517316.1	Clo1313_2354
ADU75884.1	Clo1313_2904
WP_003513562.1	Clo1313_2922
WP_003515457.1	Clo1313_0194
WP_003515490.1	Clo1313_0151
WP_003513365.1	Clo1313_3023
WP_003512860.1	Clo1313_0251
WP_003515667.1	Clo1313_1157
WP_003519443.1	Clo1313_1648
ADU75237.1	Clo1313_2197
WP_003512399.1	Clo1313_1969
ADU73274.1	Clo1313_0179
ADU75943.1	Clo1313_2965
WP_003517213.1	Clo1313_1341
WP_003517988.1	Clo1313_1730
ADU75551.1	Clo1313_2547
ADU74314.1	Clo1313_1251
ADU73439.1	Clo1313_0349
ADU73193.1	Clo1313_0096
ADU75162.1	Clo1313_2121
ADU74773.1	Clo1313_1716
ADU74264.1	Clo1313_1200
WP_003517629.1	Clo1313_1677
WP_003515685.1	Clo1313_1146
WP_003518753.1	Clo1313_1389
ADU74002.1	Clo1313_0934
WP_003517609.1	Clo1313_1687
ADU74183.1	Clo1313_1119
WP_003520364.1	Clo1313_1290
ADU73857.1	Clo1313_0784
ADU73630.1	Clo1313_0546
WP_003513299.1	Clo1313_0012
ADU74038.1	Clo1313_0970
ADU75844.1	Clo1313_2864
WP_003514505.1	Clo1313_0410
WP_003513422.1	Clo1313_2990
ADU73405.1	Clo1313_0314
ADU73340.1	Clo1313_0246
ADU74496.1	Clo1313_1434
WP_003520696.1	Clo1313_2375
ADU75188.1	Clo1313_2147
ADU74634.1	Clo1313_1573
ADU73638.1	Clo1313_0554
WP_003511583.1	Clo1313_0642
ADU73833.1	Clo1313_0755
ADU75745.1	Clo1313_2761
WP_003512318.1	Clo1313_2014
WP_003515517.1	Clo1313_1236
WP_003518597.1	Clo1313_1284
WP_003516186.1	Clo1313_1525
ADU73386.1	Clo1313_0295
ADU75699.1	Clo1313_2715
WP_003512326.1	Clo1313_2009
WP_095522197.1	Clo1313_1101
ADU73841.1	Clo1313_0764
WP_003513828.1	Clo1313_2561
ADU74745.1	Clo1313_1688
ADU74550.1	Clo1313_1488
WP_003511655.1	Clo1313_0674
WP_003515533.1	Clo1313_1228
WP_003517216.1	Clo1313_1338
ADU74638.1	Clo1313_1577
WP_003516353.1	Clo1313_1443
ADU75006.1	Clo1313_1959
WP_014522631.1	Clo1313_2195
WP_003516377.1	Clo1313_1429
ADU75310.1	Clo1313_2280
ADU73544.1	Clo1313_0455
WP_003517748.1	Clo1313_2273
WP_003512125.1	Clo1313_2117
ADU74630.1	Clo1313_1569
ADU73564.1	Clo1313_0475
ADU75670.1	Clo1313_2678
WP_003515898.1	Clo1313_2447
ADU75293.1	Clo1313_2261
ADU75022.1	Clo1313_1975
WP_003514791.1	Clo1313_0611
WP_003516254.1	Clo1313_1494
ADU73498.1	Clo1313_0409
ADU73523.1	Clo1313_0434
ADU73974.1	Clo1313_0906
ADU74332.1	Clo1313_1269
ADU75792.1	Clo1313_2812
ADU73829.1	Clo1313_0751
WP_003515320.1	Clo1313_0366
WP_003512504.1	Clo1313_1917
WP_003514331.1	Clo1313_0332
ADU74652.1	Clo1313_1591
ADU74105.1	Clo1313_1037
WP_003517183.1	Clo1313_1356
WP_003511911.1	Clo1313_2215
WP_003518362.1	Clo1313_0093
WP_003517002.1	Clo1313_0941
ADU74856.1	Clo1313_1800
WP_003511931.1	Clo1313_2209
WP_003514651.1	Clo1313_0459
ADU74124.1	Clo1313_1056
ADU73223.1	Clo1313_0126
WP_003519436.1	Clo1313_1071
WP_003515719.1	Clo1313_1128
WP_003514760.1	Clo1313_0527
WP_003513065.1	Clo1313_0138
WP_003512072.1	Clo1313_2139
ADU75578.1	Clo1313_2577
ADU74664.1	Clo1313_1603
WP_003519067.1	Clo1313_1790
ADU74271.1	Clo1313_1207
WP_003516301.1	Clo1313_1464
ADU73940.1	Clo1313_0872
WP_003518865.1	Clo1313_1053
WP_003516266.1	Clo1313_1484
WP_003517018.1	Clo1313_0933
ADU74287.1	Clo1313_1223
ADU74396.1	Clo1313_1333
WP_003518239.1	Clo1313_0863
ADU75451.1	Clo1313_2437
WP_003513814.1	Clo1313_2551
ADU73111.1	Clo1313_0011
WP_003512861.1	Clo1313_0250
ADU75370.1	Clo1313_2348
ADU73131.1	Clo1313_0031
ADU75586.1	Clo1313_2585
ADU73156.1	Clo1313_0057
ADU75366.1	Clo1313_2344
ADU75117.1	Clo1313_2076
WP_003515613.1	Clo1313_1184
WP_003517043.1	Clo1313_0920
ADU73172.1	Clo1313_0074
ADU75074.1	Clo1313_2031
WP_003513915.1	Clo1313_2608
WP_003518225.1	Clo1313_0870
ADU74104.1	Clo1313_1036
WP_003518661.1	Clo1313_1252
ADU73378.1	Clo1313_0287
ADU75818.1	Clo1313_2838
WP_003513505.1	Clo1313_2945
WP_003512190.1	Clo1313_2080
WP_003522431.1	Clo1313_2582
WP_003514696.1	Clo1313_0493
ADU73124.1	Clo1313_0024
ADU73432.1	Clo1313_0341
WP_003515648.1	Clo1313_1166
WP_003516984.1	Clo1313_0949
WP_003522631.1	Clo1313_2687
WP_003517492.1	Clo1313_0994
WP_003512877.1	Clo1313_0241
WP_004463821.1	Clo1313_2087
WP_003516527.1	Clo1313_1614
WP_003520479.1	Clo1313_0601
ADU74573.1	Clo1313_1511
WP_003516007.1	Clo1313_2403
ADU73666.1	Clo1313_0584
ADU75843.1	Clo1313_2863
WP_003513565.1	Clo1313_2919
ADU75576.1	Clo1313_2575
WP_003515640.1	Clo1313_1170
WP_003519438.1	Clo1313_1069
ADU75105.1	Clo1313_2064
WP_003514559.1	Clo1313_0419
WP_003513989.1	Clo1313_2644
WP_003518626.1	Clo1313_1270
ADU74130.1	Clo1313_1066
ADU75084.1	Clo1313_2043
ADU75619.1	Clo1313_2619
ADU74563.1	Clo1313_1501
WP_003514545.1	Clo1313_0412
ADU74802.1	Clo1313_1745
ADU74184.1	Clo1313_1120
ADU74317.1	Clo1313_1254
ADU73350.1	Clo1313_0256
WP_003512315.1	Clo1313_2017
WP_003520679.1	Clo1313_2383
ADU75119.1	Clo1313_2078
ADU73245.1	Clo1313_0149
WP_003513137.1	Clo1313_0096
WP_003518642.1	Clo1313_1262
ADU75913.1	Clo1313_2933
ADU74901.1	Clo1313_1848
ADU73613.1	Clo1313_0528
WP_003519398.1	Clo1313_0876
ADU75605.1	Clo1313_2605
ADU73259.1	Clo1313_0164
ADU75974.1	Clo1313_2996
ADU74909.1	Clo1313_1856
WP_080552882.1	Clo1313_2193
WP_003520894.1	Clo1313_0172
WP_003512097.1	Clo1313_2130
WP_003514882.1	Clo1313_0563
WP_003512342.1	Clo1313_2001
WP_003514578.1	Clo1313_0426
ADU73866.1	Clo1313_0793
WP_003517165.1	Clo1313_1362
WP_003514376.1	Clo1313_0342
WP_003516362.1	Clo1313_1436
WP_003512350.1	Clo1313_1997
WP_080550895.1	Clo1313_2659
WP_003513611.1	Clo1313_2895
ADU75902.1	Clo1313_2922
WP_003517272.1	Clo1313_1309
WP_003518131.1	Clo1313_2995
WP_003512622.1	Clo1313_2574
ADU74798.1	Clo1313_1741
ADU74238.1	Clo1313_1174
WP_003511996.1	Clo1313_2175
ADU74424.1	Clo1313_1361
WP_003516013.1	Clo1313_2402
WP_003512813.1	Clo1313_0272
WP_003516879.1	Clo1313_2805
ADU73304.1	Clo1313_0209
WP_003517235.1	Clo1313_1328
WP_003518139.1	Clo1313_2979
ADU74742.1	Clo1313_1685
WP_003516080.1	Clo1313_0755
ADU75617.1	Clo1313_2617
WP_003517215.1	Clo1313_1339
ADU74691.1	Clo1313_1630
ADU75028.1	Clo1313_1981
WP_003517145.1	Clo1313_1370
ADU74071.1	Clo1313_1003
ADU74222.1	Clo1313_1158
ADU73547.1	Clo1313_0458
WP_003512303.1	Clo1313_2021
WP_003520983.1	Clo1313_1535
ADU75983.1	Clo1313_3005
ADU75504.1	Clo1313_2493
WP_003517221.1	Clo1313_1334
WP_003517440.1	Clo1313_1017
ADU73196.1	Clo1313_0099
WP_003517597.1	Clo1313_1693
WP_003518272.1	Clo1313_0849
ADU74179.1	Clo1313_1115
ADU73726.1	Clo1313_0646
WP_003515688.1	Clo1313_1143
WP_003515449.1	Clo1313_0206
WP_014522640.1	Clo1313_2515
ADU74559.1	Clo1313_1497
ADU75193.1	Clo1313_2152
WP_003512559.1	Clo1313_1900
ADU74880.1	Clo1313_1824
WP_003519693.1	Clo1313_2522
ADU75802.1	Clo1313_2822
ADU73227.1	Clo1313_0131
WP_003512227.1	Clo1313_2065
ADU73204.1	Clo1313_0107
WP_003519132.1	Clo1313_1099
WP_003517930.1	Clo1313_1764
ADU74888.1	Clo1313_1832
WP_003512676.1	Clo1313_1832
WP_037295095.1	Clo1313_2556
WP_003512791.1	Clo1313_0285
ADU75732.1	Clo1313_2748
WP_003512981.1	Clo1313_0184
ADU75199.1	Clo1313_2159
WP_003518855.1	Clo1313_1057
WP_003516003.1	Clo1313_2405
WP_003514378.1	Clo1313_0344
ADU73927.1	Clo1313_0859
ADU74159.1	Clo1313_1095
ADU74379.1	Clo1313_1316
WP_003515434.1	Clo1313_0245
WP_003516261.1	Clo1313_1489
WP_003513419.1	Clo1313_2993
WP_003513306.1	Clo1313_0008
WP_003514773.1	Clo1313_0528
WP_003519104.1	Clo1313_1029
WP_080547382.1	Clo1313_2377
ADU73116.1	Clo1313_0016
ADU73814.1	Clo1313_0736
ADU75762.1	Clo1313_2778
ADU74710.1	Clo1313_1653
ADU75130.1	Clo1313_2089
WP_003512242.1	Clo1313_2058
ADU74391.1	Clo1313_1328
ADU74730.1	Clo1313_1673
ADU73700.1	Clo1313_0620
WP_003513817.1	Clo1313_2553
ADU74145.1	Clo1313_1081
ADU73437.1	Clo1313_0347
WP_003517368.1	Clo1313_2329
ADU74246.1	Clo1313_1182
ADU75345.1	Clo1313_2323
ADU75706.1	Clo1313_2722
ADU74738.1	Clo1313_1681
ADU75922.1	Clo1313_2942
ADU75359.1	Clo1313_2337
WP_003516483.1	Clo1313_1637
ADU75687.1	Clo1313_2703
WP_003513863.1	Clo1313_2587
WP_014522616.1	Clo1313_1300
ADU75810.1	Clo1313_2830
ADU73937.1	Clo1313_0869
WP_003515548.1	Clo1313_1219
ADU73594.1	Clo1313_0509
ADU75351.1	Clo1313_2329
ADU73489.1	Clo1313_0399
WP_003521783.1	Clo1313_2324
WP_003516161.1	Clo1313_0669
ADU74807.1	Clo1313_1750
WP_003513010.1	Clo1313_0163
WP_003516493.1	Clo1313_1632
WP_003513671.1	Clo1313_2855
ADU75045.1	Clo1313_1999
WP_003513946.1	Clo1313_2623
ADU74473.1	Clo1313_1411
WP_003518718.1	Clo1313_1409
ADU74157.1	Clo1313_1093
WP_003514614.1	Clo1313_0442
WP_003515593.1	Clo1313_1194
ADU74508.1	Clo1313_1446
ADU74084.1	Clo1313_1016
ADU75059.1	Clo1313_2015
WP_003513930.1	Clo1313_2616
WP_003512850.1	Clo1313_0253
ADU75492.1	Clo1313_2479
WP_003512155.1	Clo1313_2100
WP_003513499.1	Clo1313_2949
ADU75402.1	Clo1313_2385
ADU75333.1	Clo1313_2306
WP_003520845.1	Clo1313_0353
ADU75271.1	Clo1313_2239
ADU74613.1	Clo1313_1551
ADU75426.1	Clo1313_2409
WP_003511707.1	Clo1313_0716
ADU73331.1	Clo1313_0237
ADU75814.1	Clo1313_2834
WP_003511616.1	Clo1313_0660
ADU74941.1	Clo1313_1889
